Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0069,2.63,5.09,3.02,68.07,24.01
0.0075,2.63,5.09,3.03,68.07,24.14
0.0087,2.63,5.31,3.17,74.20,26.41
0.0099,2.63,5.20,3.11,70.99,25.42
0.011,2.63,5.01,3.01,66.08,23.76
0.0116,2.63,4.92,2.95,63.57,22.91
0.0122,2.63,4.82,2.90,61.21,22.10
0.0136,2.61,4.83,2.90,60.86,22.01
0.0151,2.60,4.93,2.96,63.12,22.77
0.0169,2.58,5.09,3.06,66.96,24.15
0.0187,2.57,5.20,3.13,69.38,25.10
0.0196,2.56,5.24,3.15,70.26,25.43
0.0206,2.56,5.28,3.18,71.27,25.82
0.0224,2.56,5.30,3.20,71.86,26.16
0.024,2.57,5.28,3.19,71.40,26.05
0.0253,2.57,5.22,3.15,69.97,25.52
0.0262,2.57,5.17,3.12,68.56,24.98
0.0265,2.57,5.10,3.09,67.01,24.50
0.0269,2.58,5.04,3.05,65.66,24.09
0.0275,2.60,5.02,3.04,65.33,24.06
0.0281,2.61,5.03,3.06,65.90,24.38
0.0286,2.62,5.02,3.06,65.83,24.45
0.0287,2.62,4.99,3.04,65.27,24.24
0.0289,2.61,4.97,3.03,64.63,24.00
0.0288,2.61,4.93,3.01,63.46,23.62
0.0282,2.62,4.90,2.99,62.81,23.43
0.0273,2.62,4.94,3.01,63.90,23.84
0.0263,2.63,5.00,3.05,65.82,24.51
0.0258,2.63,5.06,3.09,67.41,25.10
0.0254,2.64,5.12,3.12,69.03,25.71
0.0248,2.64,5.13,3.13,69.46,25.81
0.0246,2.65,5.09,3.10,68.42,25.44
0.0249,2.66,5.03,3.07,67.05,25.04
0.0252,2.67,5.03,3.08,67.55,25.34
0.0254,2.68,5.04,3.09,68.02,25.62
0.026,2.69,5.08,3.13,69.44,26.24
0.0265,2.69,5.11,3.14,70.18,26.55
0.0268,2.67,5.11,3.14,69.86,26.34
0.027,2.66,5.09,3.12,68.88,25.81
0.0271,2.64,5.03,3.08,66.82,25.02
0.0272,2.65,4.96,3.04,65.22,24.40
0.0279,2.66,4.92,3.02,64.44,24.19
0.0291,2.67,4.94,3.03,65.27,24.59
0.0305,2.68,4.98,3.06,66.30,25.07
0.0311,2.68,4.95,3.05,65.69,24.88
0.0318,2.68,4.93,3.03,65.13,24.70
0.0326,2.69,4.91,3.03,64.91,24.68
0.033,2.69,4.87,3.00,63.80,24.24
