Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0968,2.60,3.33,1.92,28.80,9.60
0.0969,2.60,3.38,1.95,29.64,9.86
0.0969,2.60,3.43,1.98,30.53,10.15
0.0969,2.61,3.49,2.01,31.75,10.56
0.0968,2.61,3.60,2.08,33.86,11.31
0.0968,2.61,3.67,2.12,35.13,11.74
0.0962,2.61,3.62,2.10,34.18,11.46
0.0956,2.61,3.54,2.05,32.69,11.01
0.095,2.60,3.46,2.01,31.25,10.56
0.0934,2.60,3.44,2.01,30.79,10.51
0.0919,2.60,3.46,2.04,31.17,10.76
0.0912,2.60,3.52,2.07,32.17,11.16
0.0911,2.60,3.64,2.14,34.39,11.94
0.0909,2.61,3.76,2.22,36.92,12.83
0.0909,2.62,3.89,2.30,39.71,13.81
0.0909,2.63,3.99,2.36,41.80,14.60
0.0908,2.62,4.03,2.39,42.65,14.95
0.0903,2.60,4.04,2.39,42.47,14.89
0.09,2.58,4.04,2.39,42.09,14.74
0.0897,2.57,4.03,2.39,41.89,14.65
0.089,2.58,4.03,2.38,41.98,14.67
0.0885,2.60,4.04,2.38,42.33,14.76
0.0881,2.61,4.05,2.39,42.82,14.88
0.0877,2.63,4.05,2.39,43.25,15.03
0.0874,2.64,4.06,2.39,43.53,15.16
0.0871,2.65,4.06,2.40,43.71,15.25
0.0864,2.65,4.06,2.41,43.73,15.41
0.0854,2.65,4.06,2.42,43.64,15.49
0.0854,2.64,4.06,2.42,43.57,15.44
0.0856,2.64,4.06,2.42,43.67,15.46
0.0859,2.65,4.07,2.42,43.95,15.54
0.0861,2.67,4.10,2.44,44.86,15.90
0.0861,2.68,4.13,2.47,45.90,16.35
0.0862,2.69,4.18,2.49,46.93,16.70
0.0863,2.69,4.24,2.52,48.35,17.06
0.0862,2.67,4.22,2.50,47.55,16.68
0.0861,2.65,4.20,2.48,46.68,16.29
0.0857,2.63,4.16,2.45,45.55,15.84
0.0858,2.63,4.13,2.44,44.77,15.62
0.0864,2.64,4.09,2.42,44.20,15.44
0.0869,2.65,4.08,2.41,44.11,15.40
0.0873,2.66,4.07,2.40,43.97,15.34
0.0882,2.66,4.04,2.39,43.48,15.21
0.0888,2.66,4.03,2.39,43.31,15.22
0.0887,2.66,4.04,2.40,43.43,15.29
0.0881,2.65,4.03,2.39,43.04,15.13
0.0876,2.65,4.03,2.39,42.99,15.14
0.0871,2.65,4.03,2.39,43.00,15.16
0.0855,2.65,3.99,2.38,42.29,15.01
0.0842,2.64,3.95,2.36,41.29,14.73
0.0837,2.63,3.94,2.35,40.95,14.59
0.0838,2.62,3.92,2.33,40.25,14.30
0.0838,2.62,3.89,2.32,39.69,14.07
0.0841,2.63,3.87,2.30,39.38,13.92
0.0841,2.64,3.87,2.31,39.48,14.04
0.0839,2.65,3.87,2.32,39.66,14.21
0.0832,2.65,3.89,2.33,40.06,14.40
0.0828,2.64,3.91,2.35,40.49,14.54
0.0823,2.64,3.94,2.36,40.95,14.70
0.0808,2.64,3.95,2.36,41.05,14.74
0.0789,2.64,3.94,2.36,40.96,14.76
0.077,2.64,3.93,2.36,40.72,14.73
0.076,2.65,3.91,2.36,40.52,14.70
0.0761,2.65,3.87,2.34,39.82,14.48
0.0761,2.66,3.84,2.32,39.18,14.29
0.0766,2.67,3.84,2.33,39.40,14.44
0.0769,2.66,3.95,2.39,41.55,15.26
0.0774,2.65,4.07,2.47,44.02,16.14
0.078,2.65,4.17,2.52,46.03,16.83
0.0786,2.65,4.27,2.58,48.28,17.62
0.0803,2.64,4.28,2.58,48.49,17.57
0.0819,2.63,4.17,2.50,45.87,16.49
0.0835,2.62,4.06,2.43,43.25,15.45
0.0853,2.61,4.01,2.39,41.97,14.91
0.0861,2.60,3.98,2.37,41.17,14.57
0.0868,2.59,3.95,2.34,40.32,14.22
0.0874,2.57,3.91,2.31,39.40,13.78
0.0875,2.56,3.87,2.28,38.39,13.35
0.0873,2.57,3.84,2.27,37.95,13.22
0.0871,2.59,3.86,2.28,38.48,13.43
0.0869,2.60,3.87,2.29,38.94,13.62
0.0866,2.60,3.94,2.33,40.39,14.14
0.087,2.60,4.04,2.40,42.46,14.96
0.0878,2.60,4.18,2.49,45.42,16.13
0.088,2.60,4.32,2.58,48.53,17.30
0.0879,2.60,4.27,2.55,47.34,16.88
0.0878,2.59,4.22,2.52,46.21,16.49
0.0874,2.59,4.10,2.45,43.57,15.55
0.0874,2.60,3.99,2.38,41.33,14.66
0.0874,2.60,3.88,2.30,39.10,13.75
0.0878,2.59,3.86,2.28,38.52,13.49
0.0882,2.58,3.83,2.26,37.90,13.22
0.09,2.58,3.86,2.27,38.33,13.24
0.0923,2.58,3.84,2.24,37.95,12.99
0.0941,2.59,3.82,2.22,37.84,12.84
0.0954,2.61,3.85,2.24,38.79,13.06
0.0957,2.63,3.84,2.23,38.80,13.05
0.0961,2.63,3.83,2.22,38.61,12.95
0.0959,2.62,3.82,2.21,38.26,12.83
0.0948,2.62,3.83,2.22,38.31,12.91
0.0933,2.62,3.83,2.23,38.31,13.02
0.0926,2.62,3.80,2.22,37.81,12.92
0.0919,2.63,3.77,2.21,37.34,12.82
0.0904,2.63,3.71,2.18,36.17,12.56
0.0887,2.65,3.66,2.16,35.39,12.38
0.0867,2.66,3.64,2.16,35.19,12.41
0.0842,2.66,3.66,2.19,35.78,12.75
0.0828,2.66,3.76,2.25,37.59,13.45
0.0814,2.66,3.85,2.31,39.49,14.17
0.0786,2.66,3.92,2.36,40.92,14.78
0.0762,2.67,3.95,2.38,41.72,15.18
0.0739,2.68,3.97,2.41,42.26,15.53
0.0717,2.70,3.97,2.42,42.50,15.78
0.0706,2.71,3.98,2.43,42.92,15.99
0.0695,2.71,3.99,2.44,43.29,16.19
0.0675,2.72,4.05,2.48,44.57,16.73
0.0655,2.72,4.08,2.50,45.31,17.03
0.0635,2.72,4.11,2.52,45.77,17.25
0.0628,2.71,4.15,2.55,46.71,17.60
0.0621,2.71,4.19,2.57,47.69,17.97
0.0622,2.71,4.20,2.58,47.71,18.00
0.0638,2.70,4.24,2.60,48.45,18.25
0.0658,2.69,4.30,2.63,49.66,18.66
0.0675,2.68,4.32,2.65,50.04,18.80
0.068,2.68,4.33,2.65,50.22,18.80
0.0685,2.66,4.34,2.65,50.15,18.73
0.0692,2.63,4.29,2.61,48.41,17.98
0.07,2.60,4.22,2.56,46.38,17.01
0.071,2.60,4.16,2.51,44.95,16.28
0.0715,2.61,4.10,2.47,43.79,15.87
0.072,2.63,4.04,2.43,42.90,15.56
0.0731,2.65,4.04,2.43,43.24,15.72
0.0745,2.67,4.03,2.44,43.41,15.85
0.0759,2.68,4.02,2.43,43.44,15.91
0.0772,2.69,4.05,2.45,44.04,16.10
0.0774,2.69,4.07,2.46,44.52,16.26
0.0776,2.69,4.09,2.47,44.95,16.40
0.0774,2.69,4.13,2.50,45.90,16.74
0.0772,2.69,4.16,2.51,46.41,16.89
0.077,2.69,4.15,2.50,46.22,16.76
0.0771,2.69,4.15,2.50,46.34,16.83
0.0772,2.68,4.16,2.51,46.35,16.87
0.078,2.66,4.12,2.48,45.07,16.35
0.0792,2.64,4.09,2.45,44.09,15.91
0.0806,2.63,4.09,2.45,44.02,15.78
0.0821,2.63,4.10,2.45,44.11,15.74
0.0827,2.64,4.10,2.45,44.43,15.86
0.0832,2.65,4.11,2.46,44.76,15.99
0.0839,2.65,4.11,2.46,44.79,16.01
0.0842,2.65,4.09,2.44,44.39,15.82
0.0843,2.64,4.08,2.43,43.88,15.57
0.0842,2.63,4.07,2.42,43.59,15.44
0.0841,2.63,4.06,2.42,43.32,15.34
0.0841,2.63,4.05,2.41,43.09,15.25
0.084,2.63,4.02,2.40,42.55,15.10
0.0844,2.64,4.00,2.39,42.26,15.05
0.0851,2.64,3.98,2.38,41.95,14.95
0.0853,2.65,3.97,2.37,41.75,14.88
0.0854,2.65,3.95,2.36,41.49,14.79
0.0853,2.65,3.95,2.36,41.49,14.76
0.0848,2.66,3.95,2.35,41.48,14.73
0.084,2.66,3.94,2.35,41.31,14.67
0.0833,2.65,3.94,2.35,41.21,14.67
0.0831,2.63,3.98,2.37,41.67,14.83
0.083,2.62,4.01,2.39,42.14,15.00
0.0832,2.61,4.01,2.40,42.01,15.00
0.0834,2.60,4.04,2.41,42.43,15.16
0.0837,2.60,4.07,2.43,43.07,15.39
0.0838,2.60,4.09,2.44,43.45,15.54
0.0838,2.62,4.10,2.45,44.01,15.77
0.0835,2.64,4.14,2.48,45.30,16.26
0.0826,2.65,4.15,2.49,45.83,16.45
0.081,2.66,4.13,2.48,45.31,16.30
0.079,2.65,4.09,2.46,44.38,16.03
0.0778,2.64,4.06,2.44,43.53,15.74
0.0767,2.63,4.03,2.42,42.79,15.48
0.0742,2.64,4.04,2.43,42.95,15.59
0.0721,2.65,4.08,2.47,44.12,16.10
0.0708,2.66,4.16,2.52,45.97,16.90
0.0703,2.67,4.29,2.60,48.96,18.02
0.0698,2.66,4.42,2.68,51.98,19.16
0.0688,2.64,4.48,2.73,53.14,19.74
0.0678,2.64,4.48,2.74,52.88,19.76
0.0669,2.64,4.44,2.72,52.00,19.48
0.0665,2.64,4.30,2.63,48.99,18.34
0.0666,2.64,4.19,2.56,46.34,17.32
0.0667,2.62,4.08,2.49,43.68,16.29
0.0674,2.60,4.13,2.51,44.37,16.44
0.0687,2.59,4.17,2.53,44.98,16.61
0.071,2.59,4.17,2.53,45.05,16.60
0.0727,2.59,4.20,2.55,45.71,16.80
0.0744,2.59,4.24,2.56,46.41,17.01
0.0781,2.59,4.19,2.52,45.54,16.48
0.0821,2.59,4.16,2.49,44.98,16.09
0.086,2.60,4.17,2.48,45.29,16.05
0.0888,2.61,4.16,2.46,45.12,15.83
0.0894,2.61,4.11,2.43,44.09,15.41
0.09,2.61,4.06,2.40,43.05,14.99
0.0899,2.61,4.01,2.36,42.01,14.54
0.0895,2.59,4.00,2.36,41.51,14.37
0.0891,2.56,4.00,2.36,41.12,14.23
0.0891,2.54,4.01,2.35,40.81,14.09
0.0893,2.53,4.08,2.40,42.14,14.57
0.0896,2.56,4.15,2.44,44.03,15.24
0.0899,2.60,4.29,2.54,47.83,16.75
0.0894,2.64,4.37,2.60,50.47,17.90
0.0882,2.66,4.36,2.60,50.41,17.97
0.0875,2.65,4.31,2.57,49.37,17.59
0.0869,2.64,4.27,2.55,48.25,17.17
0.0854,2.64,4.17,2.48,45.74,16.21
0.0835,2.63,4.10,2.44,44.10,15.65
0.0819,2.62,4.11,2.46,44.24,15.79
0.0811,2.61,4.09,2.45,43.75,15.70
0.0811,2.62,4.05,2.43,42.87,15.40
0.0811,2.63,4.00,2.40,42.11,15.15
0.0808,2.63,4.02,2.41,42.52,15.27
0.0798,2.63,4.06,2.43,43.50,15.61
0.0781,2.63,4.15,2.49,45.22,16.28
0.077,2.62,4.22,2.53,46.65,16.86
0.076,2.63,4.29,2.58,48.31,17.52
0.0742,2.64,4.35,2.63,49.90,18.26
0.073,2.64,4.40,2.67,51.19,18.87
0.0725,2.64,4.44,2.70,52.00,19.24
0.072,2.64,4.48,2.72,52.93,19.61
0.0715,2.64,4.45,2.71,52.44,19.43
0.0709,2.64,4.43,2.70,51.91,19.23
0.0691,2.64,4.36,2.65,50.11,18.58
0.0673,2.65,4.26,2.60,48.13,17.86
0.066,2.65,4.21,2.56,46.92,17.38
0.0656,2.65,4.19,2.55,46.52,17.21
0.0652,2.65,4.17,2.53,45.97,16.98
0.0645,2.64,4.17,2.53,45.93,16.91
0.0636,2.63,4.24,2.58,47.28,17.49
0.0628,2.63,4.33,2.64,49.34,18.41
0.0619,2.63,4.39,2.69,50.70,19.00
0.0614,2.63,4.46,2.73,52.26,19.56
0.0609,2.63,4.53,2.77,53.85,20.14
0.0598,2.62,4.57,2.80,54.80,20.50
0.0583,2.62,4.58,2.80,54.89,20.57
0.0565,2.62,4.61,2.83,55.85,20.96
0.0556,2.63,4.61,2.83,55.91,20.98
0.0548,2.62,4.62,2.83,55.91,20.98
0.0535,2.62,4.56,2.79,54.40,20.39
0.0525,2.61,4.51,2.76,53.15,19.90
0.0516,2.61,4.50,2.75,52.83,19.75
0.0512,2.60,4.50,2.75,52.60,19.63
0.0514,2.60,4.47,2.73,51.95,19.40
0.0515,2.61,4.44,2.72,51.47,19.24
0.0525,2.62,4.49,2.75,52.83,19.82
0.0537,2.63,4.54,2.79,54.13,20.39
0.0545,2.63,4.61,2.83,55.82,21.06
0.055,2.62,4.68,2.87,57.43,21.64
0.0551,2.61,4.59,2.82,55.08,20.72
0.0552,2.61,4.50,2.76,52.90,19.87
0.0552,2.60,4.36,2.66,49.43,18.47
0.055,2.60,4.17,2.54,45.27,16.84
0.0547,2.61,4.01,2.45,42.02,15.63
0.0546,2.62,3.98,2.43,41.56,15.50
0.0545,2.63,3.95,2.42,41.14,15.39
0.0546,2.64,3.97,2.43,41.68,15.64
0.0549,2.64,4.11,2.52,44.69,16.79
0.0551,2.63,4.33,2.66,49.43,18.57
0.0541,2.62,4.51,2.77,53.39,20.10
0.0527,2.62,4.65,2.85,56.55,21.27
0.0514,2.62,4.79,2.94,60.08,22.58
0.0474,2.62,4.78,2.93,59.86,22.51
0.0432,2.62,4.73,2.89,58.47,21.90
0.0392,2.61,4.63,2.83,56.08,20.86
0.0372,2.60,4.50,2.74,52.67,19.50
0.0353,2.60,4.37,2.65,49.55,18.26
0.0315,2.60,4.41,2.67,50.49,18.57
0.028,2.60,4.56,2.77,54.03,20.01
0.0248,2.60,4.82,2.94,60.53,22.51
0.022,2.59,5.18,3.15,69.41,25.66
0.0207,2.57,5.33,3.23,73.16,26.89
0.0194,2.55,5.50,3.32,77.35,28.24
0.017,2.55,5.49,3.31,76.72,27.84
0.015,2.55,5.43,3.26,75.26,27.09
0.0144,2.56,5.37,3.22,74.01,26.56
0.0149,2.57,5.29,3.17,72.01,25.93
0.0155,2.58,5.21,3.13,70.08,25.33
0.0177,2.59,5.03,3.04,65.72,24.00
0.0205,2.60,4.89,2.97,62.18,22.88
0.0233,2.61,4.81,2.92,60.36,22.27
0.0266,2.61,4.78,2.90,59.49,21.92
0.0286,2.60,4.74,2.88,58.47,21.62
0.0305,2.60,4.70,2.86,57.48,21.31
0.0352,2.60,4.64,2.83,55.95,20.81
0.0405,2.61,4.59,2.81,54.91,20.55
0.0461,2.62,4.54,2.79,53.94,20.31
0.0516,2.62,4.50,2.76,53.09,20.03
0.0541,2.62,4.47,2.74,52.30,19.71
0.0566,2.62,4.44,2.72,51.45,19.37
0.0607,2.61,4.34,2.65,49.17,18.36
0.0638,2.59,4.25,2.59,46.96,17.39
0.0661,2.58,4.20,2.55,45.50,16.74
0.0671,2.57,4.18,2.53,44.95,16.50
0.0681,2.56,4.16,2.52,44.44,16.27
0.0699,2.56,4.20,2.54,45.11,16.47
0.0719,2.56,4.23,2.55,45.86,16.72
0.074,2.57,4.25,2.56,46.40,16.90
0.076,2.58,4.26,2.57,46.76,17.02
0.0766,2.59,4.22,2.54,46.09,16.79
0.0773,2.61,4.18,2.52,45.45,16.58
0.0775,2.62,4.15,2.51,44.96,16.43
0.0766,2.62,4.14,2.51,44.87,16.45
0.075,2.62,4.14,2.51,44.83,16.45
0.0741,2.62,4.13,2.50,44.65,16.37
0.0733,2.61,4.13,2.50,44.45,16.28
0.0717,2.61,4.15,2.50,44.83,16.35
0.0704,2.60,4.18,2.52,45.41,16.57
0.0694,2.60,4.22,2.56,46.24,16.98
0.0686,2.60,4.26,2.59,47.20,17.46
0.0684,2.60,4.26,2.59,47.05,17.43
0.0681,2.60,4.25,2.59,46.96,17.42
0.0675,2.61,4.21,2.56,46.14,17.16
0.0664,2.61,4.16,2.54,45.25,16.84
0.0651,2.62,4.13,2.52,44.69,16.64
0.0644,2.62,4.16,2.54,45.24,16.86
0.0637,2.63,4.18,2.55,45.86,17.11
0.0627,2.64,4.24,2.59,47.48,17.73
0.0622,2.65,4.30,2.63,48.99,18.30
0.062,2.65,4.34,2.65,49.99,18.66
0.0621,2.64,4.37,2.67,50.54,18.84
0.0621,2.63,4.34,2.65,49.46,18.40
0.0621,2.62,4.30,2.62,48.44,17.99
0.0621,2.61,4.27,2.60,47.60,17.68
0.0619,2.61,4.31,2.63,48.49,18.03
0.0612,2.62,4.33,2.64,49.09,18.29
0.0607,2.63,4.30,2.62,48.57,18.12
0.0603,2.64,4.27,2.61,48.04,17.96
0.0593,2.64,4.25,2.60,47.79,17.85
0.0587,2.64,4.22,2.58,46.97,17.54
0.058,2.63,4.24,2.59,47.31,17.67
0.0574,2.63,4.35,2.66,49.78,18.62
0.0572,2.64,4.44,2.72,51.98,19.49
0.0569,2.65,4.53,2.78,54.42,20.45
0.0567,2.66,4.55,2.80,55.05,20.77
0.0565,2.65,4.54,2.79,54.82,20.67
0.0561,2.65,4.53,2.78,54.39,20.42
0.0555,2.64,4.50,2.76,53.51,20.06
0.0552,2.63,4.45,2.73,52.23,19.58
0.0549,2.63,4.40,2.70,51.06,19.15
0.0547,2.63,4.36,2.67,49.98,18.74
0.0554,2.63,4.27,2.62,48.05,18.00
0.0566,2.62,4.24,2.60,47.17,17.69
0.0573,2.62,4.35,2.66,49.43,18.52
0.0579,2.62,4.46,2.73,51.96,19.46
0.0588,2.62,4.55,2.79,54.29,20.35
0.0592,2.62,4.61,2.82,55.66,20.86
0.059,2.62,4.60,2.81,55.51,20.75
0.058,2.62,4.51,2.75,53.29,19.85
0.0571,2.62,4.40,2.68,50.75,18.89
0.0562,2.62,4.29,2.62,48.24,17.93
0.0539,2.60,4.27,2.60,47.40,17.57
0.0512,2.59,4.29,2.61,47.76,17.69
0.0485,2.59,4.35,2.65,49.04,18.20
0.0473,2.60,4.39,2.67,50.04,18.60
0.0461,2.61,4.43,2.70,51.08,19.00
0.0441,2.61,4.52,2.76,53.24,19.93
0.0428,2.62,4.67,2.87,57.00,21.52
0.043,2.63,4.83,2.98,61.27,23.31
0.0439,2.64,4.98,3.08,65.40,25.01
0.0445,2.65,4.99,3.09,65.94,25.27
0.045,2.66,5.00,3.10,66.44,25.52
0.046,2.66,4.90,3.03,63.93,24.45
0.0475,2.64,4.77,2.95,60.25,22.93
0.0496,2.60,4.63,2.83,55.54,20.85
0.051,2.54,4.55,2.78,52.73,19.65
0.0524,2.51,4.48,2.73,50.48,18.68
0.0559,2.51,4.40,2.66,48.57,17.84
0.0598,2.53,4.34,2.63,47.67,17.50
0.0637,2.56,4.38,2.66,49.08,18.07
0.0678,2.57,4.47,2.71,51.35,18.89
0.0698,2.58,4.48,2.72,51.90,19.07
0.0718,2.59,4.50,2.73,52.40,19.23
0.0754,2.59,4.44,2.68,51.18,18.70
0.0778,2.60,4.35,2.63,49.34,17.97
0.0796,2.61,4.28,2.58,47.72,17.34
0.0808,2.61,4.24,2.56,46.95,17.05
0.0814,2.60,4.26,2.56,47.18,17.08
0.082,2.59,4.27,2.57,47.28,17.07
0.0831,2.57,4.31,2.58,47.72,17.11
0.0844,2.55,4.33,2.58,47.87,17.01
0.0857,2.54,4.33,2.57,47.59,16.78
0.086,2.53,4.38,2.60,48.37,17.02
0.0864,2.54,4.42,2.62,49.51,17.38
0.0868,2.56,4.41,2.61,49.71,17.45
0.0871,2.58,4.37,2.59,49.22,17.34
0.0866,2.59,4.35,2.58,49.02,17.31
0.0855,2.59,4.30,2.55,47.83,16.91
0.0847,2.59,4.27,2.54,47.28,16.76
0.0839,2.59,4.25,2.53,46.74,16.61
0.0821,2.59,4.28,2.56,47.32,16.97
0.0805,2.59,4.29,2.58,47.80,17.27
0.0798,2.61,4.34,2.61,49.07,17.79
0.08,2.62,4.38,2.64,50.31,18.26
0.0802,2.63,4.42,2.67,51.49,18.72
0.0808,2.64,4.44,2.68,51.96,18.87
0.081,2.63,4.43,2.67,51.66,18.73
0.0809,2.62,4.42,2.66,51.19,18.49
0.0806,2.62,4.42,2.65,51.11,18.36
0.0804,2.62,4.42,2.64,51.12,18.34
0.0801,2.61,4.42,2.64,50.96,18.25
0.0794,2.60,4.43,2.65,50.97,18.19
0.0788,2.58,4.45,2.66,51.10,18.25
0.0782,2.56,4.48,2.69,51.54,18.50
0.0781,2.56,4.51,2.71,52.13,18.75
0.0781,2.56,4.54,2.73,52.87,19.05
0.0781,2.57,4.51,2.71,52.20,18.92
0.0779,2.58,4.41,2.67,50.21,18.32
0.0773,2.59,4.30,2.61,47.99,17.62
0.0765,2.61,4.18,2.54,45.65,16.82
0.0761,2.63,4.12,2.50,44.65,16.47
0.0757,2.64,4.06,2.47,43.52,16.08
0.0753,2.63,4.09,2.47,43.94,16.12
0.0754,2.63,4.10,2.48,44.21,16.11
0.0757,2.63,4.12,2.48,44.57,16.21
0.0761,2.62,4.12,2.49,44.62,16.22
0.0766,2.62,4.13,2.49,44.63,16.21
0.0782,2.61,4.10,2.47,43.94,15.89
0.0803,2.61,4.09,2.45,43.67,15.70
0.0823,2.60,4.12,2.46,44.20,15.79
0.0839,2.61,4.14,2.47,44.65,15.89
0.0846,2.62,4.14,2.47,44.74,15.92
0.0852,2.63,4.13,2.46,44.86,15.95
0.0862,2.63,4.14,2.46,45.06,15.98
0.0865,2.63,4.13,2.46,44.79,15.84
0.0863,2.62,4.11,2.44,44.19,15.61
0.0861,2.61,4.10,2.44,43.95,15.54
0.086,2.61,4.10,2.44,43.98,15.55
0.0859,2.61,4.11,2.44,44.02,15.56
0.0857,2.61,4.09,2.43,43.57,15.36
0.0859,2.61,4.10,2.44,43.90,15.49
0.0863,2.61,4.15,2.47,45.02,15.95
0.0864,2.62,4.19,2.50,45.95,16.29
0.0866,2.61,4.23,2.52,46.85,16.61
0.0867,2.61,4.26,2.53,47.35,16.76
0.0871,2.61,4.24,2.52,46.80,16.52
0.0874,2.61,4.20,2.50,46.04,16.24
0.0871,2.61,4.17,2.48,45.49,16.04
0.0868,2.61,4.12,2.45,44.39,15.66
0.0865,2.61,4.07,2.42,43.30,15.29
0.0864,2.61,4.08,2.42,43.40,15.32
0.0864,2.61,4.06,2.41,42.91,15.13
0.0862,2.61,4.00,2.37,41.66,14.66
0.0862,2.61,4.02,2.39,42.23,14.85
0.0861,2.61,4.05,2.40,42.80,15.05
0.086,2.60,4.10,2.43,43.71,15.44
0.086,2.60,4.15,2.47,44.74,15.87
0.087,2.60,4.18,2.49,45.49,16.11
0.089,2.61,4.17,2.47,45.32,15.95
0.0902,2.62,4.13,2.44,44.54,15.61
0.0914,2.63,4.08,2.41,43.80,15.27
0.0941,2.63,3.99,2.34,41.94,14.38
0.0971,2.64,3.95,2.26,41.13,13.47
0.1002,2.64,3.99,2.28,41.93,13.74
0.1017,2.63,3.99,2.29,41.89,13.74
0.1032,2.60,4.00,2.29,41.64,13.67
0.1058,2.56,4.09,2.35,42.91,14.10
0.1081,2.52,3.86,2.21,37.56,12.35
0.1102,2.49,3.81,2.18,36.07,11.87
0.1118,2.48,3.81,2.18,35.90,11.82
0.1126,2.49,3.83,2.20,36.50,12.03
0.1134,2.51,3.86,2.22,37.31,12.31
0.1145,2.53,3.91,2.25,38.75,12.79
0.114,2.55,4.12,2.37,43.37,14.33
0.1115,2.56,4.40,2.53,49.58,16.39
0.1081,2.57,4.57,2.63,53.70,17.77
0.1061,2.59,4.57,2.63,54.08,17.91
0.1041,2.61,4.57,2.63,54.52,18.07
0.0998,2.62,4.52,2.61,53.65,17.79
0.0959,2.63,4.45,2.57,52.06,17.28
0.0928,2.63,4.37,2.52,50.15,16.66
0.0915,2.65,4.21,2.47,46.87,16.13
0.0903,2.67,4.06,2.39,44.07,15.29
0.0881,2.69,3.98,2.36,42.57,14.96
0.0859,2.69,3.99,2.38,42.75,15.19
0.0836,2.67,4.01,2.40,42.91,15.38
0.0808,2.65,4.04,2.43,43.37,15.61
0.0794,2.64,4.08,2.45,44.02,15.87
0.0781,2.63,4.12,2.48,44.76,16.14
0.0764,2.63,4.11,2.47,44.43,16.07
0.0762,2.63,4.14,2.49,45.15,16.35
0.0767,2.64,4.21,2.54,46.80,16.97
0.0769,2.64,4.26,2.57,47.91,17.40
0.0771,2.65,4.30,2.59,48.97,17.81
0.0771,2.65,4.31,2.61,49.05,17.96
0.0768,2.65,4.26,2.58,48.05,17.63
0.0769,2.65,4.17,2.52,46.11,16.83
0.0771,2.64,4.09,2.46,44.23,16.02
0.0772,2.63,4.06,2.44,43.31,15.66
0.0772,2.63,4.02,2.42,42.60,15.38
0.0775,2.65,4.04,2.43,43.18,15.63
0.0783,2.66,4.07,2.45,44.05,15.99
0.0796,2.65,4.10,2.47,44.57,16.13
0.0804,2.64,4.09,2.46,44.18,15.92
0.0812,2.63,4.08,2.45,43.80,15.71
0.0832,2.62,4.09,2.44,43.77,15.58
0.0854,2.61,4.12,2.45,44.26,15.71
0.088,2.60,4.14,2.46,44.56,15.71
0.0911,2.60,4.09,2.42,43.59,15.18
0.0928,2.60,4.03,2.37,42.35,14.64
0.0945,2.61,3.97,2.33,41.23,14.14
0.0976,2.61,3.96,2.29,40.97,13.72
0.1,2.60,3.97,2.26,40.99,13.32
0.1014,2.59,4.05,2.28,42.60,13.46
0.1017,2.59,4.14,2.32,44.34,13.90
0.102,2.59,4.23,2.36,46.29,14.38
0.1022,2.59,4.23,2.35,46.30,14.29
0.1022,2.59,4.18,2.33,45.28,14.01
0.1024,2.59,4.12,2.29,43.87,13.59
0.1026,2.59,4.05,2.25,42.48,13.11
0.1023,2.61,3.92,2.19,40.08,12.46
0.1021,2.63,3.80,2.12,38.00,11.87
0.1006,2.65,3.77,2.14,37.68,12.13
0.0982,2.66,3.78,2.18,38.03,12.62
0.0949,2.66,3.81,2.22,38.47,13.08
0.0914,2.65,3.89,2.29,40.08,13.86
0.0899,2.65,3.97,2.34,41.81,14.55
0.0884,2.65,4.06,2.40,43.72,15.29
0.0859,2.65,4.10,2.43,44.62,15.70
0.0844,2.64,4.13,2.46,45.13,15.97
0.0841,2.64,4.15,2.48,45.44,16.17
0.0842,2.64,4.15,2.48,45.32,16.17
0.0843,2.64,4.14,2.48,45.33,16.21
0.0842,2.65,4.10,2.46,44.57,16.01
0.0839,2.65,4.06,2.43,43.74,15.67
0.0836,2.64,4.01,2.40,42.58,15.20
0.0833,2.63,3.97,2.37,41.56,14.83
0.0831,2.63,3.97,2.37,41.31,14.73
0.083,2.62,3.96,2.36,41.12,14.65
0.0825,2.62,3.98,2.37,41.40,14.75
0.0824,2.61,3.97,2.37,41.04,14.69
0.0826,2.60,3.89,2.33,39.36,14.11
0.0828,2.59,3.86,2.31,38.57,13.82
0.083,2.60,3.82,2.29,37.97,13.60
0.0833,2.61,3.81,2.28,37.98,13.56
0.0832,2.62,3.88,2.32,39.42,14.08
0.0823,2.63,3.99,2.39,41.94,15.08
0.0808,2.64,4.06,2.44,43.61,15.77
0.08,2.64,4.07,2.45,43.68,15.82
0.0793,2.64,4.07,2.45,43.66,15.83
0.0779,2.64,4.01,2.41,42.41,15.35
0.0764,2.64,3.95,2.38,41.12,14.89
0.0747,2.64,3.89,2.34,39.98,14.52
0.074,2.65,3.89,2.35,39.97,14.57
0.0732,2.65,3.88,2.35,39.97,14.63
0.0726,2.66,3.92,2.38,40.84,15.05
0.0731,2.66,3.94,2.40,41.33,15.28
0.0739,2.66,3.94,2.40,41.38,15.29
0.0739,2.66,3.95,2.40,41.60,15.36
0.0736,2.66,3.95,2.40,41.50,15.33
0.0733,2.66,3.94,2.40,41.43,15.31
0.0729,2.66,3.96,2.41,41.78,15.45
0.0732,2.65,3.98,2.41,42.06,15.45
0.074,2.64,3.96,2.39,41.34,15.01
0.0753,2.62,3.90,2.34,39.93,14.42
0.0759,2.62,3.88,2.33,39.53,14.30
0.0765,2.63,3.86,2.32,39.30,14.24
